----- Modified from GlisovicEtAl_2015GRL -----
z(m)_orig z(m)_mod radius(m) G(K) M(K) N(K)
224031.45177942 227031.45177942 6143968.54822058 1703.23789339 1738.04265173 1795.09000000
205439.88715961 208439.88715961 6162560.11284039 1695.45850707 1721.74138570 1790.33000000
187594.38483902 190594.38483902 6180405.61516098 1687.87973927 1704.76689112 1785.36000000
170505.69428098 173505.69428098 6197494.30571902 1680.52895414 1687.22125664 1779.71000000
154184.10907368 157184.10907368 6213815.89092632 1673.43669547 1669.22068378 1773.07000000
138639.46072975 141639.46072975 6229360.53927025 1666.63544676 1650.89334694 1765.30000000
123881.11276410 126881.11276410 6244118.88723590 1660.15778302 1632.37723099 1755.73000000
109917.95505370 112917.95505370 6258082.04494630 1652.49020161 1613.81796280 1742.60000000
96758.39848264 99758.39848264 6271241.60151736 1629.26514585 1593.19086266 1722.18000000
84410.36987572 87410.36987572 6283589.63012428 1581.05179451 1529.77766435 1686.92000000
72881.30722366 75881.30722366 6295118.69277634 1505.78773617 1424.23426706 1627.52000000
62178.15520269 65178.15520269 6305821.84479731 1406.26117403 1294.19508148 1539.37000000
52307.36099138 55307.36099138 6315692.63900862 1288.06141189 1153.24591878 1423.14000000
43274.87038708 46274.87038708 6324725.12961292 1157.97119184 1011.50460649 1285.43000000
35086.12422436 38086.12422436 6332913.87577564 1022.87194038 876.17560285 1135.50000000
27746.05509774 30746.05509774 6340253.94490226 889.05260450 752.07375553 982.61000000
21259.08439037 24259.08439037 6346740.91560963 761.83703995 642.11266201 834.81200000
15629.11961086 18629.11961086 6352370.88038914 645.45087875 547.75343016 698.67300000
10859.55203946 13859.55203946 6357140.44796054 543.08173770 469.41000485 579.08200000
6953.25468535 9953.25468535 6361046.74531465 457.04179225 406.80761831 479.23800000
3912.58055597 6912.58055597 6364087.41944403 388.89923561 359.29133585 400.90300000
1739.36123973 4739.36123973 6366260.63876027 339.66434504 326.08210109 344.82600000
434.90580268 3434.90580268 6367565.09419732 309.93158550 306.47813426 311.20000000
0.00000000 3000.00000000 6368000.00000000 300.00000000 300.00000000 300.00000000
