|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  83334.0        356.410        3607.86       0.180512E-004   915.020        9.05528        5.09485      -0.110231E+008	0 0 0.547286 0.119851 0.0255595 0 0 0 0.152373 0 0 0.122262 0.0326685 0 0 0 0 0 0 0 0 0
  89744.2        356.410        3624.09       0.177010E-004   912.897        9.11267        5.11762      -0.108471E+008	0 0 0.538864 0.111427 0.0251481 0 0 0 0.152913 0 0 0.13056 0.0410885 0 0 0 0 0 0 0 0 0
  96154.5        356.410        3641.41       0.173967E-004   910.425        9.18005        5.15083      -0.106717E+008	0 0 0.528013 0.0918683 0.0251106 0 0 0 0.154174 0 0 0.148901 0.0519337 0 0 0 0 0 0 0 0 0
  102565.        356.410        3676.80       0.172488E-004   904.468        9.35624        5.27659      -0.104990E+008	0 0 0.466227 0.0265692 0 0 0 0 0.160322 0 0 0.233969 0.112912 0 0 0 0 0 0 0 0 0
  108975.        356.410        3812.56       0.165535E-004   889.813        9.87572        5.59783      -0.103345E+008	0 0 0 0.0269921 0 0 0 0 0.0284847 0.137062 0 0.242034 0.421015 0.144413 0 0 0 0 0 0 0 0
  115385.        356.410        3925.52       0.144303E-004   872.309        10.2789        5.83598      -0.101762E+008	0 0 0 0.0271853 0 0 0 0 0.0420831 0.127678 0 0 0.743122 0 0.0599317 0 0 0 0 0 0 0
  121795.        356.410        3936.65       0.142078E-004   870.792        10.3112        5.84633      -0.100141E+008	0 0 0 0.0264862 0 0 0 0 0.0384892 0.131303 0 0 0.743566 0 0.0601558 0 0 0 0 0 0 0
  128206.        356.410        3947.59       0.139926E-004   869.311        10.3426        5.85630      -0.985239E+007	0 0 0 0.0259943 0 0 0 0 0.0345694 0.13539 0 0 0.743752 0 0.0602938 0 0 0 0 0 0 0
  134616.        356.410        3958.36       0.137838E-004   867.860        10.3734        5.86602      -0.969108E+007	0 0 0 0.0256978 0 0 0 0 0.0289636 0.141167 0 0 0.743788 0 0.0603841 0 0 0 0 0 0 0
  141026.        356.410        3969.04       0.135810E-004   866.434        10.4038        5.87545      -0.953019E+007	0 0 0 0.0253 0 0 0 0 0.0251483 0.145281 0 0 0.743809 0 0.0604622 0 0 0 0 0 0 0
  147436.        356.410        3979.58       0.133843E-004   865.041        10.4336        5.88434      -0.936968E+007	0 0 0 0.0249716 0 0 0 0 0.0228975 0.147812 0 0 0.743797 0 0.060522 0 0 0 0 0 0 0
  153847.        356.410        3990.20       0.131920E-004   863.634        10.4637        5.89402      -0.920961E+007	0 0 0 0.0243453 0 0 0 0 0.0145031 0.156811 0 0 0.743758 0 0.0605833 0 0 0 0 0 0 0
  160257.        356.410        4000.88       0.130046E-004   862.223        10.4940        5.90405      -0.904989E+007	0 0 0 0.023285 0 0 0 0 0.172361 0 0 0 0.743713 0 0.0606408 0 0 0 0 0 0 0
  166667.        356.410        4011.47       0.128233E-004   860.847        10.5233        5.91311      -0.889060E+007	0 0 0 0.0218857 0 0 0 0 0.173645 0 0 0 0.743767 0 0.0607017 0 0 0 0 0 0 0
  173077.        356.410        4022.61       0.126447E-004   859.309        10.5553        5.92449      -0.873175E+007	0 0 0 0.0197968 0 0 0 0 0.173212 0 0 0 0.745065 0 0.0611686 0 0 0.000757183 0 0 0 0
  179487.        356.410        4038.96       0.124432E-004   855.790        10.6202        5.96067      -0.857465E+007	0 0 0 0.0190534 0 0 0 0 0.139532 0 0 0 0.762539 0 0.0670543 0 0 0.011821 0 0 0 0
  185898.        356.410        4051.77       0.122664E-004   853.629        10.6614        5.97939      -0.841721E+007	0 0 0 0.0165982 0 0 0 0 0.129623 0 0 0 0.768153 0 0.0689246 0 0 0.0167018 0 0 0 0
  192308.        356.410        4064.11       0.120983E-004   851.749        10.6973        5.99506      -0.826004E+007	0 0 0 0.0122227 0 0 0 0 0.127268 0 0 0 0.770648 0 0.0697267 0 0 0.0201343 0 0 0 0
  198718.        356.410        4076.95       0.119356E-004   849.897        10.7319        6.01112      -0.810324E+007	0 0 0 0.00453783 0 0 0 0 0.130765 0 0 0 0.771584 0 0.0699597 0 0 0.0231544 0 0 0 0
  205128.        356.410        4088.85       0.117766E-004   848.182        10.7643        6.02493      -0.794711E+007	0 0 0 0 0 0 0 0 0.131758 0 0 0 0.771651 0 0.0699376 0 0 0.0266539 0 0 0 0
  211539.        356.410        4157.81       0.120833E-004   845.028        10.9232        6.09312      -0.779719E+007	0 0 0 0.0263782 0 0 0 0 0 0 0 0 0.58662 0 0 0 0 0.25404 0.0654667 0.0674951 0 0
  217949.        356.410        4228.40       0.121882E-004   840.015        11.0473        6.18780      -0.764690E+007	0 0 0 0 0 0 0 0 0 0 0 0 0.349396 0 0 0.0635261 0 0.437926 0.0636332 0.0685014 0.017018 0
  224359.        356.410        4419.91       0.144910E-004   821.781        11.3947        6.71173      -0.750728E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.378828 0.0355181 0.426237 0.0701968 0 0.0714595 0.0177608 0
  230769.        356.410        4429.53       0.143410E-004   820.422        11.4205        6.72243      -0.736313E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.380257 0.0365525 0.425999 0.0678481 0 0.0714717 0.017872 0
  237180.        356.410        4439.09       0.141939E-004   819.073        11.4461        6.73315      -0.721929E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.381607 0.0375221 0.425764 0.0656388 0 0.0714835 0.0179848 0
  243590.        356.410        4448.57       0.140491E-004   817.733        11.4716        6.74395      -0.707575E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.382792 0.0383532 0.425525 0.0637179 0 0.0714948 0.0181163 0
  250000.        356.410        4457.99       0.139071E-004   816.402        11.4969        6.75475      -0.693252E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.383922 0.0391334 0.425294 0.0618938 0 0.0715058 0.0182505 0
  1.00000        412.821        3201.06       0.233268E-004   1005.14        7.12648        3.49470      -0.133228E+008	0.0368526 0.123093 0.727454 0.0549361 0 0 0.0576647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        412.821        3369.17       0.251461E-004   997.257        8.23500        4.75674      -0.131398E+008	0 0 0.632573 0.143133 0.0300937 0.05672 0 0.137481 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        412.821        3406.03       0.242584E-004   996.666        8.36944        4.82240      -0.129543E+008	0 0 0.598308 0.135134 0.0314332 0.0203864 0 0.118853 0.0958848 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        412.821        3433.13       0.235082E-004   995.627        8.46141        4.85833      -0.127694E+008	0 0 0.579215 0.132604 0.0323076 0 0 0.106407 0.149467 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        412.821        3449.40       0.228566E-004   993.775        8.51481        4.87455      -0.125851E+008	0 0 0.579178 0.134406 0.0324209 0 0 0.104423 0.149572 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        412.821        3465.33       0.222418E-004   991.980        8.56671        4.88999      -0.124016E+008	0 0 0.579146 0.135754 0.0325928 0 0 0.102827 0.149679 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        412.821        3481.10       0.216620E-004   990.220        8.61918        4.90725      -0.122191E+008	0 0 0.579049 0.136572 0.0329516 0 0 0.101565 0.149862 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        412.821        3506.05       0.221030E-004   988.350        8.69862        4.95280      -0.120382E+008	0 0 0.58046 0.13785 0.0331901 0 0 0 0.150378 0 0 0.0981221 0 0 0 0 0 0 0 0 0 0
  51282.8        412.821        3521.38       0.215959E-004   986.585        8.74825        4.96924      -0.118576E+008	0 0 0.58042 0.137104 0.0307953 0 0 0 0.15061 0 0 0.101071 0 0 0 0 0 0 0 0 0 0
  57693.1        412.821        3536.59       0.211171E-004   984.832        8.79870        4.98737      -0.116779E+008	0 0 0.580353 0.135019 0.0290064 0 0 0 0.150953 0 0 0.104668 0 0 0 0 0 0 0 0 0 0
