|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  198718.        1428.21        3998.95       0.185656E-004   1190.27        10.2528        5.62602      -0.689284E+007	0 0 0 0 0 0 0 0 0.230802 0 0 0 0.696631 0 0.0428745 0 0 0 0 0.0296926 0 0
  205128.        1428.21        4013.87       0.184180E-004   1190.03        10.2966        5.64684      -0.674013E+007	0 0 0 0 0 0 0 0 0.218201 0 0 0 0.701463 0 0.0444337 0 0 0 0 0.0359025 0 0
  211539.        1428.21        4027.48       0.182550E-004   1189.71        10.3357        5.66381      -0.658702E+007	0 0 0 0 0 0 0 0 0.20961 0 0 0 0.704303 0 0.0453338 0 0 0 0 0.0407536 0 0
  217949.        1428.21        4040.13       0.180814E-004   1189.32        10.3716        5.67822      -0.643377E+007	0 0 0 0 0 0 0 0 0.203712 0 0 0 0.705916 0 0.0458355 0 0 0 0 0.0445367 0 0
  224359.        1428.21        4062.66       0.178485E-004   1188.99        10.4133        5.66019      -0.628088E+007	0 0 0 0 0 0 0 0 0.191529 0 0 0 0.582463 0 0 0 0 0.177481 0 0.0485269 0 0
  230769.        1428.21        4074.77       0.176622E-004   1188.53        10.4503        5.67444      -0.612846E+007	0 0 0 0 0 0 0 0 0.185657 0 0 0 0.582716 0 0 0 0 0.180579 0 0.0510475 0 0
  237180.        1428.21        4195.01       0.188582E-004   1192.33        10.6236        5.76935      -0.598867E+007	0 0 0 0 0 0 0 0 0.158839 0 0 0 0 0 0 0.171059 0 0.613098 0 0.0570037 0 0
  243590.        1428.21        4341.87       0.234235E-004   1212.16        10.8219        6.04119      -0.581925E+007	0 0 0 0 0 0 0 0 0.188572 0 0 0 0 0 0 0.176476 0 0 0 0.0574269 0 0.577526
  250000.        1428.21        4355.52       0.232806E-004   1211.68        10.8617        6.06242      -0.567671E+007	0 0 0 0 0 0 0 0 0.179863 0 0 0 0 0 0 0.176544 0 0 0 0.0586121 0 0.584982
  1.00000        1484.62        3135.06       0.392404E-004   1238.27        6.59384        3.16758      -0.120645E+008	0.14171 0 0.621915 0.0574307 0 0 0 0.178945 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1484.62        3195.89       0.383945E-004   1235.81        7.44324        4.25250      -0.118674E+008	0.0762622 0 0.600411 0.146256 0 0 0 0.177071 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1484.62        3260.83       0.379603E-004   1233.77        7.59732        4.36252      -0.116773E+008	0 0 0.556704 0.217237 0 0 0 0.210035 0 0 0.0160231 0 0 0 0 0 0 0 0 0 0 0
  19231.7        1484.62        3303.15       0.356822E-004   1229.88        7.78643        4.42242      -0.114997E+008	0 0 0.578402 0.207054 0 0 0 0.1281 0.0864438 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        1484.62        3331.84       0.341338E-004   1226.89        7.90990        4.46183      -0.113211E+008	0 0 0.580096 0.210054 0 0 0 0.0868899 0.12296 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        1484.62        3353.70       0.329045E-004   1224.17        7.99391        4.48930      -0.111407E+008	0 0 0.580658 0.213404 0 0 0 0.0698592 0.136079 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        1484.62        3373.39       0.318089E-004   1221.64        8.06448        4.51235      -0.109603E+008	0 0 0.580905 0.214551 0 0 0 0.0619729 0.142571 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        1484.62        3391.95       0.308002E-004   1219.25        8.12840        4.53320      -0.107802E+008	0 0 0.581011 0.214056 0 0 0 0.0587189 0.146215 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        1484.62        3409.83       0.298592E-004   1217.01        8.18830        4.55221      -0.106007E+008	0 0 0.581071 0.212621 0 0 0 0.0576887 0.148619 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        1484.62        3427.35       0.289783E-004   1214.92        8.24672        4.57135      -0.104218E+008	0 0 0.581087 0.210305 0 0 0 0.0578133 0.150794 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        1484.62        3444.47       0.281457E-004   1212.94        8.30281        4.58928      -0.102435E+008	0 0 0.581101 0.20704 0 0 0 0.0591813 0.152678 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        1484.62        3461.26       0.273664E-004   1211.10        8.35744        4.60654      -0.100656E+008	0 0 0.581112 0.204506 0 0 0 0.0599589 0.154424 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        1484.62        3477.91       0.266339E-004   1209.38        8.41167        4.62384      -0.988847E+007	0 0 0.581133 0.201754 0 0 0 0.060266 0.156848 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        1484.62        3494.38       0.259418E-004   1207.77        8.46488        4.64079      -0.971176E+007	0 0 0.581166 0.198633 0 0 0 0.0605821 0.159618 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        1484.62        3513.71       0.260767E-004   1208.69        8.54119        4.67913      -0.953809E+007	0 0 0.581705 0.194679 0 0 0 0 0.162905 0 0 0.0607116 0 0 0 0 0 0 0 0 0 0
  96154.5        1484.62        3530.27       0.254934E-004   1207.35        8.59423        4.69734      -0.936361E+007	0 0 0.581816 0.185104 0 0 0 0 0.166975 0 0 0.0661045 0 0 0 0 0 0 0 0 0 0
  102565.        1484.62        3546.51       0.249276E-004   1206.05        8.64588        4.71479      -0.918946E+007	0 0 0.581917 0.177401 0 0 0 0 0.171366 0 0 0.0693159 0 0 0 0 0 0 0 0 0 0
  108975.        1484.62        3562.88       0.243716E-004   1204.75        8.69730        4.73209      -0.901570E+007	0 0 0.582056 0.170365 0 0 0 0 0.177717 0 0 0.0698616 0 0 0 0 0 0 0 0 0 0
  115385.        1484.62        3579.40       0.238219E-004   1203.47        8.74836        4.74899      -0.884226E+007	0 0 0.58225 0.163863 0 0 0 0 0.186324 0 0 0.0675637 0 0 0 0 0 0 0 0 0 0
  121795.        1484.62        3596.59       0.232624E-004   1202.14        8.80000        4.76574      -0.866901E+007	0 0 0.582563 0.157384 0 0 0 0 0.199534 0 0 0.0605189 0 0 0 0 0 0 0 0 0 0
  128206.        1484.62        3636.63       0.229731E-004   1202.30        8.94211        4.84275      -0.850346E+007	0 0 0.46717 0.152722 0 0 0 0 0.21592 0 0 0.0509583 0 0.11323 0 0 0 0 0 0 0 0
  134616.        1484.62        3743.89       0.235209E-004   1206.72        9.37187        5.11206      -0.836231E+007	0 0 0 0.151449 0 0 0 0 0.235616 0 0 0.0422737 0 0.570661 0 0 0 0 0 0 0 0
  141026.        1484.62        3765.35       0.228730E-004   1205.00        9.42954        5.12901      -0.819402E+007	0 0 0 0.139352 0 0 0 0 0.278552 0 0 0.0101553 0 0.571942 0 0 0 0 0 0 0 0
  147436.        1484.62        3784.01       0.224002E-004   1203.76        9.48560        5.15026      -0.802867E+007	0 0 0 0.119783 0 0 0 0 0.307354 0 0 0 0 0.572864 0 0 0 0 0 0 0 0
  153847.        1484.62        3801.05       0.220177E-004   1202.77        9.54109        5.17462      -0.786478E+007	0 0 0 0.0974746 0 0 0 0 0.328958 0 0 0 0 0.573567 0 0 0 0 0 0 0 0
  160257.        1484.62        3818.72       0.216512E-004   1201.81        9.59883        5.20188      -0.770140E+007	0 0 0 0.0711597 0 0 0 0 0.35445 0 0 0 0 0.57439 0 0 0 0 0 0 0 0
  166667.        1484.62        3860.22       0.203785E-004   1197.89        9.74666        5.29199      -0.755321E+007	0 0 0 0.0464511 0 0 0 0 0.380839 0 0 0 0.298419 0.27429 0 0 0 0 0 0 0 0
  173077.        1484.62        3901.56       0.192134E-004   1194.30        9.88532        5.37905      -0.740540E+007	0 0 0 0.0135632 0 0 0 0 0.415036 0 0 0 0.571401 0 0 0 0 0 0 0 0 0
  179487.        1484.62        3920.99       0.189529E-004   1193.57        9.95815        5.42432      -0.725388E+007	0 0 0 0 0 0 0 0 0.399626 0 0 0 0.592988 0 0.00738665 0 0 0 0 0 0 0
  185898.        1484.62        3941.27       0.187239E-004   1192.88        10.0429        5.48114      -0.710963E+007	0 0 0 0 0 0 0 0 0.349259 0 0 0 0.630304 0 0.0204373 0 0 0 0 0 0 0
  192308.        1484.62        3969.65       0.187572E-004   1193.53        10.1411        5.54823      -0.696701E+007	0 0 0 0 0 0 0 0 0.286761 0 0 0 0.663912 0 0.0317202 0 0 0 0 0.0176075 0 0
  198718.        1484.62        3990.03       0.186763E-004   1193.61        10.2076        5.58836      -0.681869E+007	0 0 0 0 0 0 0 0 0.253566 0 0 0 0.680871 0 0.0373953 0 0 0 0 0.0281683 0 0
  205128.        1484.62        4006.54       0.185416E-004   1193.43        10.2592        5.61591      -0.666793E+007	0 0 0 0 0 0 0 0 0.233799 0 0 0 0.690475 0 0.0406019 0 0 0 0 0.0351236 0 0
  211539.        1484.62        4021.06       0.183830E-004   1193.13        10.3031        5.63696      -0.651605E+007	0 0 0 0 0 0 0 0 0.221015 0 0 0 0.696193 0 0.0425029 0 0 0 0 0.0402892 0 0
  217949.        1484.62        4034.35       0.182125E-004   1192.76        10.3421        5.65408      -0.636363E+007	0 0 0 0 0 0 0 0 0.212322 0 0 0 0.699666 0 0.043648 0 0 0 0 0.044364 0 0
  224359.        1484.62        4056.98       0.179832E-004   1192.41        10.3854        5.63897      -0.621150E+007	0 0 0 0 0 0 0 0 0.198012 0 0 0 0.58222 0 0 0 0 0.171369 0 0.0483984 0 0
  230769.        1484.62        4069.51       0.177943E-004   1191.94        10.4243        5.65448      -0.605966E+007	0 0 0 0 0 0 0 0 0.190341 0 0 0 0.582545 0 0 0 0 0.176225 0 0.0508895 0 0
  237180.        1484.62        4189.61       0.190088E-004   1196.08        10.5957        5.74715      -0.592006E+007	0 0 0 0 0 0 0 0 0.162065 0 0 0 0 0 0 0.171126 0 0.609936 0 0.0568734 0 0
  243590.        1484.62        4336.12       0.235961E-004   1216.82        10.8030        6.02386      -0.574971E+007	0 0 0 0 0 0 0 0 0.188216 0 0 0 0 0 0 0.176536 0 0 0 0.0574226 0 0.577826
  250000.        1484.62        4349.21       0.234393E-004   1216.28        10.8411        6.04373      -0.560771E+007	0 0 0 0 0 0 0 0 0.180945 0 0 0 0 0 0 0.176573 0 0 0 0.0583036 0 0.584179
  1.00000        1541.03        3129.19       0.402543E-004   1244.44        6.55444        3.14865      -0.119931E+008	0.138586 0 0.620836 0.0565265 0 0 0 0.184052 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1541.03        3198.91       0.396394E-004   1242.29        7.41923        4.25017      -0.117945E+008	0.0575409 0 0.593901 0.168063 0 0 0 0.180495 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1541.03        3253.37       0.387510E-004   1239.36        7.55915        4.34049      -0.116056E+008	0 0 0.559778 0.225311 0 0 0 0.20173 0 0 0.0131807 0 0 0 0 0 0 0 0 0 0 0
  19231.7        1541.03        3290.69       0.364761E-004   1234.99        7.72239        4.39130      -0.114264E+008	0 0 0.577465 0.217571 0 0 0 0.139851 0.0651128 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        1541.03        3323.42       0.347356E-004   1231.74        7.86997        4.43841      -0.112497E+008	0 0 0.57982 0.219579 0 0 0 0.0846444 0.115956 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        1541.03        3346.61       0.334451E-004   1228.89        7.96208        4.46866      -0.110700E+008	0 0 0.580592 0.224191 0 0 0 0.0617171 0.1335 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        1541.03        3366.72       0.323173E-004   1226.20        8.03523        4.49300      -0.108899E+008	0 0 0.580882 0.225867 0 0 0 0.0522126 0.141039 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        1541.03        3385.64       0.312832E-004   1223.69        8.10091        4.51453      -0.107101E+008	0 0 0.581028 0.225834 0 0 0 0.0475742 0.145564 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        1541.03        3403.78       0.303153E-004   1221.31        8.16186        4.53440      -0.105307E+008	0 0 0.58109 0.223774 0 0 0 0.0467613 0.148375 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        1541.03        3421.51       0.294098E-004   1219.08        8.22059        4.55341      -0.103520E+008	0 0 0.581134 0.220889 0 0 0 0.0470534 0.150923 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        1541.03        3438.78       0.285554E-004   1216.98        8.27696        4.57147      -0.101737E+008	0 0 0.581157 0.217252 0 0 0 0.048676 0.152915 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        1541.03        3455.81       0.277545E-004   1215.03        8.33232        4.58913      -0.999608E+007	0 0 0.581172 0.214006 0 0 0 0.0497387 0.155083 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        1541.03        3472.61       0.270012E-004   1213.20        8.38688        4.60662      -0.981902E+007	0 0 0.581204 0.210548 0 0 0 0.0505843 0.157663 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        1541.03        3489.25       0.262917E-004   1211.49        8.44032        4.62362      -0.964243E+007	0 0 0.581249 0.207016 0 0 0 0.0511483 0.160587 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        1541.03        3505.74       0.256273E-004   1209.90        8.49326        4.64054      -0.946639E+007	0 0 0.581311 0.204029 0 0 0 0.0505606 0.1641 0 0 0 0 0 0 0 0 0 0 0 0 0
  96154.5        1541.03        3524.79       0.256817E-004   1210.60        8.56665        4.67666      -0.929369E+007	0 0 0.581809 0.194812 0 0 0 0 0.168368 0 0 0.0550116 0 0 0 0 0 0 0 0 0 0
  102565.        1541.03        3541.49       0.251019E-004   1209.23        8.61958        4.69458      -0.911968E+007	0 0 0.581963 0.18546 0 0 0 0 0.174089 0 0 0.0584886 0 0 0 0 0 0 0 0 0 0
  108975.        1541.03        3558.10       0.245357E-004   1207.89        8.67170        4.71210      -0.894601E+007	0 0 0.582125 0.177347 0 0 0 0 0.180933 0 0 0.0595957 0 0 0 0 0 0 0 0 0 0
  115385.        1541.03        3574.97       0.239702E-004   1206.53        8.72340        4.72900      -0.877258E+007	0 0 0.582364 0.170181 0 0 0 0 0.190588 0 0 0.0568668 0 0 0 0 0 0 0 0 0 0
  121795.        1541.03        3592.43       0.234026E-004   1205.16        8.77565        4.74596      -0.859947E+007	0 0 0.582708 0.162553 0 0 0 0 0.204407 0 0 0.0503318 0 0 0 0 0 0 0 0 0 0
  128206.        1541.03        3611.31       0.227955E-004   1203.66        8.82942        4.76262      -0.842628E+007	0 0 0.583275 0.154892 0 0 0 0 0.226737 0 0 0.0350961 0 0 0 0 0 0 0 0 0 0
  134616.        1541.03        3741.44       0.236036E-004   1209.95        9.35175        5.09355      -0.829187E+007	0 0 0 0.15469 0 0 0 0 0.249766 0 0 0.0244729 0 0.571071 0 0 0 0 0 0 0 0
  141026.        1541.03        3762.19       0.229993E-004   1208.31        9.40947        5.11182      -0.812455E+007	0 0 0 0.139743 0 0 0 0 0.288 0 0 0 0 0.572257 0 0 0 0 0 0 0 0
  147436.        1541.03        3779.49       0.225899E-004   1207.23        9.46472        5.13450      -0.796022E+007	0 0 0 0.117983 0 0 0 0 0.30903 0 0 0 0 0.572987 0 0 0 0 0 0 0 0
  153847.        1541.03        3796.77       0.222003E-004   1206.19        9.52077        5.15912      -0.779641E+007	0 0 0 0.0949517 0 0 0 0 0.331324 0 0 0 0 0.573725 0 0 0 0 0 0 0 0
  160257.        1541.03        3814.41       0.218275E-004   1205.20        9.57845        5.18614      -0.763317E+007	0 0 0 0.069047 0 0 0 0 0.356424 0 0 0 0 0.574529 0 0 0 0 0 0 0 0
  166667.        1541.03        3836.44       0.213343E-004   1203.79        9.65283        5.22604      -0.747284E+007	0 0 0 0.0384923 0 0 0 0 0.386392 0 0 0 0.0440515 0.531064 0 0 0 0 0 0 0 0
  173077.        1541.03        3897.93       0.193616E-004   1197.42        9.86716        5.36555      -0.733780E+007	0 0 0 0.0105363 0 0 0 0 0.417937 0 0 0 0.571527 0 0 0 0 0 0 0 0 0
  179487.        1541.03        3911.42       0.190787E-004   1196.66        9.90775        5.38217      -0.717849E+007	0 0 0 0 0 0 0 0 0.428114 0 0 0 0.571886 0 0 0 0 0 0 0 0 0
  185898.        1541.03        3923.86       0.188166E-004   1195.93        9.94769        5.39894      -0.702178E+007	0 0 0 0 0 0 0 0 0.420647 0 0 0 0.577424 0 0.0019287 0 0 0 0 0 0 0
  192308.        1541.03        3952.07       0.187620E-004   1196.14        10.0572        5.47677      -0.688313E+007	0 0 0 0 0 0 0 0 0.346502 0 0 0 0.624654 0 0.0181641 0 0 0 0 0.0106806 0 0
  198718.        1541.03        3978.08       0.187483E-004   1196.58        10.1489        5.53880      -0.674076E+007	0 0 0 0 0 0 0 0 0.289376 0 0 0 0.65678 0 0.029043 0 0 0 0 0.0248014 0 0
  205128.        1541.03        3997.45       0.186447E-004   1196.55        10.2136        5.57771      -0.659321E+007	0 0 0 0 0 0 0 0 0.257396 0 0 0 0.674194 0 0.0349364 0 0 0 0 0.0334733 0 0
  211539.        1541.03        4013.51       0.184996E-004   1196.32        10.2648        5.60515      -0.644321E+007	0 0 0 0 0 0 0 0 0.237817 0 0 0 0.684379 0 0.0383807 0 0 0 0 0.0394237 0 0
  217949.        1541.03        4027.73       0.183329E-004   1195.96        10.3088        5.62651      -0.629213E+007	0 0 0 0 0 0 0 0 0.224656 0 0 0 0.690985 0 0.0406181 0 0 0 0 0.0437412 0 0
  224359.        1541.03        4050.55       0.181117E-004   1195.63        10.3545        5.61557      -0.614099E+007	0 0 0 0 0 0 0 0 0.207428 0 0 0 0.581866 0 0 0 0 0.16269 0 0.048016 0 0
  230769.        1541.03        4063.73       0.179233E-004   1195.16        10.3961        5.63298      -0.598995E+007	0 0 0 0 0 0 0 0 0.197243 0 0 0 0.582285 0 0 0 0 0.1698 0 0.0506712 0 0
  237180.        1541.03        4315.15       0.238935E-004   1221.70        10.7392        5.98105      -0.582112E+007	0 0 0 0 0 0 0 0 0.199278 0 0 0 0 0 0 0.176484 0 0 0 0.0560469 0 0.568192
  243590.        1541.03        4328.99       0.237417E-004   1221.19        10.7797        6.00286      -0.567989E+007	0 0 0 0 0 0 0 0 0.190921 0 0 0 0 0 0 0.176547 0 0 0 0.0570406 0 0.575492
  250000.        1541.03        4343.66       0.236124E-004   1220.77        10.8227        6.02675      -0.553801E+007	0 0 0 0 0 0 0 0 0.180144 0 0 0 0 0 0 0.176662 0 0 0 0.0583803 0 0.584815
  1.00000        1597.44        3123.31       0.413603E-004   1250.89        6.51281        3.12865      -0.119212E+008	0.135085 0 0.619617 0.055777 0 0 0 0.18952 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1597.44        3223.38       0.417781E-004   1250.57        7.43311        4.29316      -0.117184E+008	0 0 0.564391 0.231532 0 0 0 0.195523 0 0 0.0085545 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1597.44        3245.80       0.395673E-004   1245.05        7.52116        4.31841      -0.115337E+008	0 0 0.562773 0.234315 0 0 0 0.192496 0 0 0.0104157 0 0 0 0 0 0 0 0 0 0 0
  19231.7        1597.44        3267.36       0.376414E-004   1240.24        7.60355        4.34211      -0.113497E+008	0 0 0.561286 0.235055 0 0 0 0.191559 0 0 0.0121001 0 0 0 0 0 0 0 0 0 0 0
  25641.9        1597.44        3314.29       0.353704E-004   1236.61        7.82597        4.41355      -0.111777E+008	0 0 0.579439 0.229481 0 0 0 0.0845814 0.106499 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        1597.44        3339.12       0.340007E-004   1233.59        7.92820        4.44724      -0.109989E+008	0 0 0.580471 0.234856 0 0 0 0.0550253 0.129648 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        1597.44        3359.95       0.328322E-004   1230.76        8.00559        4.47314      -0.108192E+008	0 0 0.58086 0.2371 0 0 0 0.0425754 0.139465 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        1597.44        3379.21       0.317713E-004   1228.10        8.07302        4.49560      -0.106396E+008	0 0 0.581037 0.237372 0 0 0 0.0368451 0.144746 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        1597.44        3397.61       0.307803E-004   1225.58        8.13503        4.51598      -0.104605E+008	0 0 0.58112 0.235309 0 0 0 0.0355055 0.148065 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        1597.44        3415.50       0.298500E-004   1223.22        8.19445        4.53569      -0.102818E+008	0 0 0.581151 0.232146 0 0 0 0.0360338 0.15067 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        1597.44        3433.01       0.289718E-004   1220.98        8.25115        4.55368      -0.101038E+008	0 0 0.581195 0.227827 0 0 0 0.0379343 0.153044 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        1597.44        3450.17       0.281509E-004   1218.91        8.30685        4.57154      -0.992621E+007	0 0 0.581223 0.224268 0 0 0 0.0391717 0.155338 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        1597.44        3467.21       0.273788E-004   1216.98        8.36190        4.58926      -0.974926E+007	0 0 0.581271 0.220365 0 0 0 0.0400822 0.158282 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        1597.44        3484.05       0.266454E-004   1215.15        8.41593        4.60658      -0.957291E+007	0 0 0.581324 0.215419 0 0 0 0.0416423 0.161614 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        1597.44        3500.76       0.259634E-004   1213.47        8.46933        4.62367      -0.939700E+007	0 0 0.581397 0.211876 0 0 0 0.0412562 0.165471 0 0 0 0 0 0 0 0 0 0 0 0 0
  96154.5        1597.44        3519.35       0.258559E-004   1213.68        8.53891        4.65573      -0.922343E+007	0 0 0.581819 0.206308 0 0 0 0 0.17063 0 0 0.0412425 0 0 0 0 0 0 0 0 0 0
  102565.        1597.44        3536.22       0.252703E-004   1212.27        8.59232        4.67383      -0.904955E+007	0 0 0.581974 0.195664 0 0 0 0 0.176161 0 0 0.0462009 0 0 0 0 0 0 0 0 0 0
  108975.        1597.44        3552.88       0.247083E-004   1210.92        8.64470        4.69149      -0.887629E+007	0 0 0.582139 0.185869 0 0 0 0 0.182365 0 0 0.0496279 0 0 0 0 0 0 0 0 0 0
  115385.        1597.44        3570.64       0.241123E-004   1209.45        8.69864        4.70918      -0.870265E+007	0 0 0.582488 0.176882 0 0 0 0 0.195503 0 0 0.0451271 0 0 0 0 0 0 0 0 0 0
  121795.        1597.44        3588.68       0.235192E-004   1207.97        8.75212        4.72637      -0.852944E+007	0 0 0.582904 0.168559 0 0 0 0 0.211629 0 0 0.0369086 0 0 0 0 0 0 0 0 0 0
  128206.        1597.44        3608.24       0.228930E-004   1206.38        8.80724        4.74344      -0.835625E+007	0 0 0.583575 0.159103 0 0 0 0 0.2365 0 0 0.0208224 0 0 0 0 0 0 0 0 0 0
  134616.        1597.44        3738.90       0.236909E-004   1213.05        9.33155        5.07535      -0.822135E+007	0 0 0 0.157915 0 0 0 0 0.263383 0 0 0.00722048 0 0.571482 0 0 0 0 0 0 0 0
  141026.        1597.44        3757.54       0.231982E-004   1211.71        9.38807        5.09590      -0.805585E+007	0 0 0 0.138119 0 0 0 0 0.28951 0 0 0 0 0.572371 0 0 0 0 0 0 0 0
  147436.        1597.44        3774.95       0.227803E-004   1210.58        9.44376        5.11869      -0.789160E+007	0 0 0 0.116138 0 0 0 0 0.310753 0 0 0 0 0.57311 0 0 0 0 0 0 0 0
  153847.        1597.44        3792.38       0.223834E-004   1209.50        9.50015        5.14337      -0.772790E+007	0 0 0 0.0927487 0 0 0 0 0.333387 0 0 0 0 0.573865 0 0 0 0 0 0 0 0
  160257.        1597.44        3810.25       0.220041E-004   1208.47        9.55841        5.17070      -0.756477E+007	0 0 0 0.0661744 0 0 0 0 0.359128 0 0 0 0 0.574697 0 0 0 0 0 0 0 0
  166667.        1597.44        3828.81       0.216417E-004   1207.47        9.61875        5.20086      -0.740235E+007	0 0 0 0.0355167 0 0 0 0 0.38884 0 0 0 0 0.575643 0 0 0 0 0 0 0 0
  173077.        1597.44        3868.87       0.204733E-004   1203.71        9.75951        5.28821      -0.725465E+007	0 0 0 0.00575183 0 0 0 0 0.419877 0 0 0 0.265954 0.308417 0 0 0 0 0 0 0 0
  179487.        1597.44        3907.15       0.192246E-004   1199.62        9.88726        5.36669      -0.711081E+007	0 0 0 0 0 0 0 0 0.428078 0 0 0 0.571922 0 0 0 0 0 0 0 0 0
  185898.        1597.44        3918.25       0.189527E-004   1198.86        9.91966        5.37662      -0.695203E+007	0 0 0 0 0 0 0 0 0.42805 0 0 0 0.57195 0 0 0 0 0 0 0 0 0
  192308.        1597.44        3929.34       0.186915E-004   1198.13        9.95188        5.38652      -0.679363E+007	0 0 0 0 0 0 0 0 0.427832 0 0 0 0.571996 0 0 0 0 0 0 0.000172964 0 0
  198718.        1597.44        3961.21       0.187617E-004   1199.06        10.0678        5.46939      -0.665658E+007	0 0 0 0 0 0 0 0 0.347367 0 0 0 0.618156 0 0.0156617 0 0 0 0 0.0188151 0 0
  205128.        1597.44        3985.47       0.187129E-004   1199.34        10.1548        5.52783      -0.651459E+007	0 0 0 0 0 0 0 0 0.294058 0 0 0 0.649362 0 0.0263114 0 0 0 0 0.0302689 0 0
  211539.        1597.44        4004.12       0.185926E-004   1199.23        10.2183        5.56602      -0.636780E+007	0 0 0 0 0 0 0 0 0.262711 0 0 0 0.66736 0 0.0324574 0 0 0 0 0.0374711 0 0
  217949.        1597.44        4019.91       0.184404E-004   1198.95        10.2697        5.59386      -0.621869E+007	0 0 0 0 0 0 0 0 0.242577 0 0 0 0.678537 0 0.0362752 0 0 0 0 0.0426111 0 0
  224359.        1597.44        4043.06       0.182301E-004   1198.63        10.3196        5.58940      -0.606906E+007	0 0 0 0 0 0 0 0 0.220927 0 0 0 0.581339 0 0 0 0 0.150583 0 0.047151 0 0
  230769.        1597.44        4057.02       0.180440E-004   1198.18        10.3643        5.60890      -0.591913E+007	0 0 0 0 0 0 0 0 0.20771 0 0 0 0.581887 0 0 0 0 0.160371 0 0.0500324 0 0
  237180.        1597.44        4306.40       0.240090E-004   1225.78        10.7111        5.95601      -0.575021E+007	0 0 0 0 0 0 0 0 0.205333 0 0 0 0 0 0 0.176391 0 0 0 0.0554073 0 0.562869
  243590.        1597.44        4322.43       0.238971E-004   1225.46        10.7581        5.98324      -0.560935E+007	0 0 0 0 0 0 0 0 0.192171 0 0 0 0 0 0 0.176578 0 0 0 0.0569135 0 0.574338
  250000.        1597.44        4336.61       0.237547E-004   1224.98        10.7999        6.00613      -0.546806E+007	0 0 0 0 0 0 0 0 0.182695 0 0 0 0 0 0 0.176653 0 0 0 0.0579483 0 0.582704
  1.00000        1653.85        3117.40       0.425743E-004   1257.67        6.46824        3.10724      -0.118488E+008	0.131137 0 0.61821 0.0546997 0 0 0 0.195953 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1653.85        3215.35       0.427350E-004   1256.87        7.39302        4.27012      -0.116460E+008	0 0 0.56715 0.240047 0 0 0 0.186812 0 0 0.00599169 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1653.85        3238.12       0.404096E-004   1250.86        7.48325        4.29612      -0.114615E+008	0 0 0.56552 0.24383 0 0 0 0.182768 0 0 0.00788171 0 0 0 0 0 0 0 0 0 0 0
